title,price,brand,type,years,milage,location,vehicle_type,url,milage_class
toyota yaris,263000000,toyota,yaris,2021,35.000-40.000,"Senen, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-s-trd-sportivo-matic-2021paket-dp-ringan-iid-867241011,8
toyota yaris,264000000,toyota,yaris,2021,20.000-25.000,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-merah-iid-865181821,5
toyota yaris,264000000,toyota,yaris,2021,20.000-25.000,"JL. Raya Jemursari No.87, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-merah-iid-865195294,5
toyota yaris,264000000,toyota,yaris,2021,20.000-25.000,"Candi, Sidoarjo  Kab., Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-merah-iid-865254273,5
toyota yaris,264000000,toyota,yaris,2021,20.000-25.000,"Porong, Sidoarjo  Kab., Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-merah-iid-865194244,5
toyota yaris,279000000,toyota,yaris,2021,15.000-20.000,"Magelang Tengah, Magelang Kota, Jawa Tengah",car,https://www.olx.co.id/item/all-new-yaris-s-trd-2021-automatic-tgn-1-iid-867459727,4
toyota yaris,270000000,toyota,yaris,2021,15.000-20.000,"Makasar, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/yaris-trd-sportivo-2021-kondisi-istimewa-iid-867311541,4
toyota yaris,264000000,toyota,yaris,2021,15.000-20.000,"Jl. Raya Karanglo No.69, Karanglo, Banjararum, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153, Singosari, Malang Kec Singosari, Malang, Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-kuning-iid-867276389,4
toyota yaris,260000000,toyota,yaris,2021,15.000-20.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/yaris-s-trd-15-at-th-2021-facelift-iid-867264340,4
toyota yaris,260000000,toyota,yaris,2021,15.000-20.000,"Kelapa Dua, Tangerang Kab., Banten",car,https://www.olx.co.id/item/yaris-15-trd-at-2021-km-18rb-iid-866775813,4
toyota yaris,285000000,toyota,yaris,2021,10.000-15.000,"Purwokerto Barat, Banyumas Kab., Jawa Tengah",car,https://www.olx.co.id/item/toyota-all-new-yaris-gr-sport-15-at-2021-iid-864889849,3
toyota yaris,275000000,toyota,yaris,2021,10.000-15.000,"Kediri Kota, Kediri Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-15-trd-sportivo-2021-pemakaian-pribadi-iid-862257609,3
toyota yaris,269000000,toyota,yaris,2021,10.000-15.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-s-trd-sportivo-at-kuning-2021-like-new-iid-865353443,3
toyota yaris,259000000,toyota,yaris,2021,10.000-15.000,"Banguntapan, Bantul Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/toyota-yaris-trd-sportivo-matic-2021-bisa-kredit-iid-867380700,3
toyota yaris,259000000,toyota,yaris,2021,10.000-15.000,"Kotagede, Yogyakarta Kota, Yogyakarta D.I.",car,https://www.olx.co.id/item/dp-51-jt-toyota-yaris-trd-sportivo-at-2021-mobil-siap-pakai-iid-867370287,3
